stat_name,stat_group,equivalence,per_stat,stat_weight,cvr_scores,cvr_weights,pythago_equivalence,pythago_weights,
tries,attack,1,1,1,90.62,1,1,1,1 points for regression
allRunMetres,attack,100,0.01,0.01,1,0.011035092,95,0.010526316,0.005 points for regression
kickReturnMetres,attack,75,0.013333333,0.003333333,0,0,48,0.020833333,
postContactMetres,attack,75,0.013333333,0.003333333,0,0,95,0.010526316,
receipts,attack,300,0.003333333,0.003333333,0.26,0.002869124,0,0,
allRuns,attack,25,0.04,0.04,3.12,0.034429486,0,0,0.03 points for regression
tackleBreaks,attack,10,0.1,0.1,11.84,0.130655484,9.5,0.105263158,0.09 points for regression
lineBreaks,attack,1.5,0.666666667,0.666666667,60.32,0.665636725,1.3,0.769230769,0.667 points for regression
linebreakAssists,attack,1.75,0.571428571,0.571428571,50.76,0.560141249,1.3,0.769230769,0.75 points for regression
tryAssists,attack,1.33,0.75,0.75,59.46,0.656146546,0.9,1.111111111,0.98 points for regression
offloads,attack,15,0.066666667,0.066666667,8.64,0.095343191,0,0,0.04 points for regression
supports,attack,50,0.02,0.02,1.38,0.015228426,0,0,0.001 points for regression
decoys,attack,50,0.02,0.02,1.38,0.015228426,0,0,
errors,attack,-5,-0.2,-0.2,-16.24,-0.179209887,-3.5,-0.285714286,0.19 points for regression
kicksNotDefused,defence,-7.5,-0.133333333,-0.133333333,0,0,0,0, -0.1 points for regression
tackles,defence,20,0.05,0.05,5.07,0.055947914,0,0, -0.04 points for rehression
missedTackles,defence,-10,-0.1,-0.1,-9.09,-0.100308983,-9.5,-0.105263158, -0.09 points against regression
ineffectiveTackles,defence,-20,-0.05,-0.05,-9.81,-0.108254249,0,0,
kickPressures,defence,25,0.04,0.04,2.32,0.025601412,0,0, -0.05 points for regression
forcedTurnover,defence,7.5,0.133333333,0.133333333,,,,,N/A
oneOnOneSteal,defence,7.5,0.133333333,0.133333333,9.91,0.109357758,0,0,0.21 points for
tacklerForcedDropout,defence,8,0.125,0.125,11.3,0.124696535,11,0.090909091,N/A
trySaves,defence,4,0.25,0.25,27.97,0.308651512,0,0, -0.15 points for
tryCause,defence,-3,-0.333333333,-0.333333333,-36.98,-0.408077687,0,0, -0.35 points against
breakCause,defence,-4.5,-0.222222222,-0.222222222,-23.63,-0.260759214,0,0,N/A
penalties,defence,-4,-0.25,-0.25,-22.38,-0.24696535,0,0,-0.1
ruckInfringements,defence,-6,-0.166666667,-0.166666667,0,0,0,0,N/A
setrestartConceded10mOffside,defence,-6,-0.166666667,-0.166666667,0,0,0,0,N/A
kickMetres,kicking,500,0.002,0.002,0,0,95,0.010526316,
longKicksSpace,kicking,8,0.125,0.125,15.93,0.175789009,0,0,0.125 points for
forcedDropoutKicker,kicking,4,0.25,0.25,30.38,0.335246083,11,0.090909091,0.08 points for
fortyTwentyKicks,kicking,6,0.166666667,0.166666667,13.11,0.144670051,0,0,0.6 points for
kickDead,kicking,-6,-0.166666667,-0.166666667,0,0,0,0, -0.1 points for regression
kickError,kicking,-10,-0.1,-0.1,-10.07,-0.111123372,0,0,
